City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,keetmanshoop,-26.5833,18.1333,23.03,41,100,6.42,NA,1667760176
183,ust-kulom,61.6864,53.6902,-4.88,97,73,2.07,RU,1667760177
184,toamasina,-18.1667,49.3833,23.0,88,40,1.54,MG,1667760177
185,geraldton,-28.7667,114.6,18.23,72,100,5.66,AU,1667760178
186,lorengau,-2.0226,147.2712,26.97,79,100,1.23,PG,1667760179
187,bengkulu,-3.8004,102.2655,24.41,86,100,2.0,ID,1667760180
188,cape canaveral,28.4058,-80.6048,28.99,76,40,6.69,US,1667760180
189,portland,45.5234,-122.6762,6.02,92,100,6.17,US,1667759891
190,chicama,-7.8447,-79.1469,18.3,59,10,5.14,PE,1667760181
191,alofi,-19.0595,-169.9187,21.94,88,7,3.09,NU,1667760182
192,vaijapur,19.9167,74.7333,22.62,44,78,3.04,IN,1667760183
193,ribeira grande,38.5167,-28.7,19.22,77,20,6.17,PT,1667760183
194,wanning,18.8003,110.3967,22.37,91,99,3.93,CN,1667760184
195,novooleksiyivka,46.2269,34.6428,8.15,67,100,7.25,UA,1667760185
196,takoradi,4.8845,-1.7554,26.15,81,73,2.45,GH,1667760186
197,kastamonu,41.5,33.6667,9.57,47,100,1.1,TR,1667760187
198,hofn,64.2539,-15.2082,4.55,85,100,6.14,IS,1667760187
199,chivasso,45.1894,7.8872,13.61,75,0,1.54,IT,1667760188
200,hingoli,19.7167,77.15,20.39,56,100,1.46,IN,1667760189
201,umm kaddadah,13.6017,26.6876,27.63,19,0,4.76,SD,1667760189
202,plyussa,58.4308,29.3654,2.57,97,100,3.01,RU,1667760190
203,totness,5.8833,-56.3167,28.27,76,99,3.11,SR,1667760190
204,urdoma,61.7533,48.5442,-4.55,96,24,2.56,RU,1667760191
205,asfi,32.2994,-9.2372,19.77,80,0,6.16,MA,1667760191
206,gold coast,-28.0,153.4333,18.33,92,40,0.0,AU,1667759902
207,bambous virieux,-20.3428,57.7575,23.14,73,40,2.57,MU,1667760192
208,kigorobya,1.6162,31.3089,20.21,87,100,2.4,UG,1667760193
209,birjand,32.8663,59.2211,7.26,29,0,4.12,IR,1667760193
210,dhule,20.9,74.7833,24.98,40,23,2.14,IN,1667760194
211,puri,19.8,85.85,24.29,68,7,1.96,IN,1667760194
212,kirakira,-10.4544,161.9205,25.99,83,9,0.74,SB,1667760195
213,middelburg,-25.7751,29.4648,19.72,71,100,4.66,ZA,1667760195
214,kahului,20.8947,-156.47,27.76,64,0,7.6,US,1667759996
215,pevek,69.7008,170.3133,-9.62,82,96,7.03,RU,1667760196
216,skjervoy,70.0311,20.9714,2.0,62,100,5.72,NO,1667760197
217,marienburg,54.0359,19.0266,7.71,84,3,4.95,PL,1667760198
218,novikovo,51.1537,37.8879,0.91,81,74,2.42,RU,1667760198
219,dandong,40.1292,124.3947,6.99,76,100,2.6,CN,1667760199
220,gojo,34.35,135.7,11.37,65,94,1.48,JP,1667760199
221,rio grande,-32.035,-52.0986,14.06,72,6,7.25,BR,1667760200
222,saint-augustin,51.226,-58.6502,5.4,94,100,5.89,CA,1667760201
223,longyearbyen,78.2186,15.6401,-0.09,80,75,6.69,SJ,1667760201
224,lata,40.1629,-8.3327,15.6,90,100,0.38,PT,1667760202
225,noumea,-22.2763,166.4572,26.11,99,41,4.34,NC,1667760115
226,sorong,-0.8833,131.25,26.53,81,100,1.39,ID,1667760204
227,port victoria,0.0939,33.9756,20.22,78,100,4.69,KE,1667760205
228,constitucion,-35.3333,-72.4167,16.8,68,100,7.15,CL,1667760205
229,yuzhno-kurilsk,44.0306,145.8556,5.09,67,12,2.44,RU,1667760206
230,manaure,11.7751,-72.4445,29.18,63,100,1.28,CO,1667760206
231,nanortalik,60.1432,-45.2371,-0.4,89,100,2.44,GL,1667760207
232,chuy,-33.6971,-53.4616,19.32,63,20,6.19,UY,1667760207
233,iqaluit,63.7506,-68.5145,-8.15,62,75,4.12,CA,1667760208
234,altay,47.8667,88.1167,3.5,57,100,1.97,CN,1667760208
235,visby,57.6409,18.296,10.59,87,75,6.69,SE,1667760208
236,illapel,-31.6308,-71.1653,23.48,44,100,3.4,CL,1667760209
237,namatanai,-3.6667,152.4333,26.39,82,99,1.47,PG,1667760209
238,avera,33.194,-82.5271,27.73,64,99,2.32,US,1667760210
239,trairi,-3.2778,-39.2689,28.51,65,43,6.25,BR,1667759928
240,pangnirtung,66.1451,-65.7125,-9.0,62,40,2.57,CA,1667760211
241,khor,47.8861,134.9464,-4.61,76,1,2.27,RU,1667760212
242,ganzhou,28.8184,115.4327,13.83,82,0,0.79,CN,1667760212
243,viedma,-40.8135,-62.9967,31.43,15,100,8.54,AR,1667760212
244,saint-pierre,-21.3393,55.4781,22.82,73,20,2.57,RE,1667760213
245,ilulissat,69.2167,-51.1,-18.53,95,22,2.64,GL,1667760213
246,los llanos de aridane,28.6585,-17.9182,20.07,82,75,3.09,ES,1667760214
247,vila,42.0304,-8.1588,9.49,88,37,1.87,PT,1667760214
248,flinders,-34.5833,150.8552,16.32,84,92,3.13,AU,1667760215
249,sevilla,37.3824,-5.9761,20.49,43,0,1.54,ES,1667759993
250,parichhatgarh,28.9833,77.9333,22.3,62,100,1.72,IN,1667760216
251,bharatpur,27.2167,77.4833,23.63,56,100,2.05,IN,1667760216
252,morgantown,39.6295,-79.9559,27.47,55,100,3.6,US,1667760098
253,minyar,55.0709,57.5485,-1.99,94,100,2.11,RU,1667760217
254,cairns,-16.9167,145.7667,24.97,83,40,4.12,AU,1667760217
255,saint george,37.1041,-113.5841,16.35,36,0,0.89,US,1667760219
256,fukue,32.6881,128.8419,16.11,55,49,3.75,JP,1667760219
257,maniitsoq,65.4167,-52.9,-6.87,57,0,2.6,GL,1667760221
258,bambanglipuro,-7.95,110.2833,24.93,89,100,0.96,ID,1667760221
259,puerto del rosario,28.5004,-13.8627,22.86,78,75,4.63,ES,1667760222
